"","ntwk_name","morpho_label"
"1","Ntwk1","(L)N_bifs"
"2","Ntwk2","(L)N_bifs, (L)N_branch, (L)Fragmentation"
"3","Ntwk3","(L)Surface, (L)Volume, (L)N_bifs, (L)N_branch, (L)Fragmentation, (L)Length"
"4","Ntwk4","(L)Surface, (L)Volume, (L)N_bifs, (L)N_branch, (L)Length"
"5","Ntwk5"," "
"6","Ntwk6"," "
"7","Ntwk7"," "
"8","Ntwk8"," "
"9","Ntwk9","(L)N_bifs, (L)N_branch, (L)Branch_Order, (L)Fragmentation"
"10","Ntwk10"," "
"11","Ntwk11"," "
"12","Ntwk12"," "
"13","Ntwk13"," "
"14","Ntwk14"," "
"15","Ntwk15","(L)Surface, (L)Volume, (L)Depth, (L)Length"
"16","Ntwk16","(L)Depth"
"17","Ntwk17"," "
"18","Ntwk18"," "
"19","Ntwk19","(L)Surface, (L)Volume, (L)Length"
"20","Ntwk20","(L)Surface, (L)Volume, (L)Length"
"21","Ntwk21"," "
"22","Ntwk22"," "
"23","Ntwk23"," "
"24","Ntwk24"," "
"25","Ntwk25"," "
"26","Ntwk26"," "
"27","Ntwk27","(L)Surface, (L)Volume, (L)N_bifs, (L)Length"
"28","Ntwk28","(H)N_bifs, (H)N_branch"
"29","Ntwk29","(L)N_bifs, (L)N_branch, (L)Branch_Order, (L)Fragmentation"
"30","Ntwk30"," "
"31","Ntwk31"," "
"32","Ntwk32"," "
"33","Ntwk33"," "
"34","Ntwk34","(H)Height"
"35","Ntwk35"," "
"36","Ntwk36","(H)Surface, (H)Volume, (H)N_bifs, (H)N_branch, (H)Branch_Order, (H)Fragmentation, (H)Length"
"37","Ntwk37","(H)Surface, (H)Volume, (H)N_bifs, (H)N_branch, (H)Branch_Order, (H)Fragmentation, (H)Length"
"38","Ntwk38","(H)Surface, (H)Volume, (H)N_bifs, (H)N_branch, (H)Fragmentation, (H)Length"
"39","Ntwk39","(H)Surface, (H)Volume, (H)N_bifs, (H)N_branch, (H)Branch_Order, (H)Fragmentation, (H)Length"
"40","Ntwk40","(H)N_bifs, (H)N_branch, (H)Fragmentation"
"41","Ntwk41","(L)Surface, (L)Volume, (L)Length"
"42","Ntwk42","(H)Surface, (H)Volume, (H)Length"
"43","Ntwk43"," "
"44","Ntwk44","(L)N_bifs, (L)N_branch, (L)Branch_Order, (L)Fragmentation"
"45","Ntwk45","(H)Surface, (H)Volume, (H)Length"
"46","Ntwk46","(H)Surface, (H)Volume, (H)N_bifs, (H)N_branch, (H)Fragmentation, (H)Length"
"47","Ntwk47","(H)N_bifs, (H)N_branch, (H)Fragmentation"
"48","Ntwk48"," "
"49","Ntwk49"," "
"50","Ntwk50","(H)Surface, (H)Volume, (H)N_bifs, (H)N_branch, (H)PathDistance, (H)Branch_Order, (H)Fragmentation, (H)Length"
"51","Ntwk51"," "
"52","Ntwk52","(H)Surface, (H)Volume, (H)N_bifs, (H)N_branch, (H)Length"
"53","Ntwk53","(L)Surface, (L)Volume, (L)N_bifs, (L)N_branch, (L)Width, (L)Depth, (L)PathDistance, (L)Branch_Order, (L)Fragmentation, (L)Length"
"54","Ntwk54"," "
